C_only	C_only	C_only	C_only		R-H	R-H	R-H	R-H	R-H		R-H2	R-H2	R-H2	R-H2	R-H2		R-O	R-O	R-O	R-O	R-O		R_OH	R_OH	R_OH	R_OH	R_OH		R-COOH	R-COOH	R-COOH	R-COOH	R-COOH
Functional	System	N_C_vac	Eform (eV)		Functional	System	N_H	N_C_vac	Eform (eV)		Functional	System	N_H2	N_C_vac	Eform (eV)		Functional	System	N_O	N_C_vac	Eform (eV)		Functional	System	N_OH	N_C_vac	Eform (eV)		Functional	System	N_COOH	N_C_vac	Eform (eV)
					optB88	SW_top_1	3	0	6.065584																								
					optB88	SW_top_2	3	0	6.089174																								
					optB88	SW_top_3	3	0	6.796205																								
					optB88	SW_top_1	4	0	6.033028																								
					optB88	SW_top_2	4	0	7.047083																								
					optB88	SW_top_3	4	0	7.315238																								
					optB88	SW_top_4	4	0	7.89535																								
					optB88	SW_top_5	4	0	7.257935																								
					optB88	SW_top_1	8	0	10.364117																								
					optB88	SW_top_2	8	0	10.45214																								
					optB88	SV	1	1	6.178401486																								
					optB88	SV	2	1	5.926852486																								
					optB88	SV	3	1	5.018292486																								
					optB88	DV	1	2	8.050478972																								
					optB88	DV_1	2	2	11.44848797																								
					optB88	DV_2	2	2	9.596711972																								
					optB88	DV	3	2	5.614938972																								
					optB88	DV	4	2	3.868315972																								
					optB88	555777_top_566	1	2	7.413783972																								
					optB88	555777_top_576	1	2	7.024010972																								
					optB88	555777_top_577	1	2	6.399063972																								
					optB88	555777_top_766	1	2	7.302669972																								
					optB88	555777_top_777	1	2	7.709685972																								
					optB88	555777_top	2	2	6.393060972																								
					optB88	555777_top	3	2	7.629917972																								
					optB88	555777_top	6	2	10.06649797																								
					optB88	555567777_top_577	1	2	7.941787972																								
					optB88	555567777_top_657	1	2	8.132033972																								
					optB88	555567777_top_677	1	2	8.680529972																								
					optB88	555567777_top_766	1	2	8.495564972																								
					optB88	555567777_top	2	2	7.937377972																								
					optB88	555567777_top	4	2	8.833113972																								
					optB88	555567777_top	6	2	10.89685097																								
					optB88	TV_1	1	3	8.485122458																								
					optB88	TV_2	1	3	8.485612458																								
					optB88	TV_3	1	3	8.485614458																								
					optB88	TV_4	1	3	8.485580458																								
					optB88	TV_5	1	3	8.485536458																								
					optB88	TV	2	3	8.429423458																								
					optB88	TV	3	3	7.886207458																								
					optB88	TV	4	3	6.162390458																								
					optB88	TV	5	3	4.307915458																								
					optB88	555777_SV_1	1	3	9.945563458																								
					optB88	555777_SV_2	1	3	9.945377458																								
					optB88	555777_SV_3	1	3	10.41056346																								
					optB88	555777_SV_4	1	3	9.945327458																								
					optB88	555777_SV_5	1	3	9.945113458																								
					optB88	555777_SV_6	1	3	9.945395458																								
					optB88	555777_SV_7	1	3	9.945395458																								
					optB88	555777_SV	2	3	7.692479458																								
					optB88	555777_SV	3	3	5.755100458																								
					optB88	555777_SV_m3_1	1	3	9.625978458																								
					optB88	555777_SV_m3_2	1	3	9.626187458																								
					optB88	555777_SV_m3_3	1	3	9.625895458																								
					optB88	555777_SV_m3_4	1	3	9.626708458																								
					optB88	555777_SV_m3_5	1	3	9.626450458																								
					optB88	555777_SV_m3	2	3	9.788535458																								
					optB88	555777_SV_m3	3	3	8.440567458																								
					optB88	555777_SV_m3	4	3	11.86626146																								
					optB88	555777_SV_m3	5	3	11.15300146																								
					optB88	555567777_SV_1	1	3	11.07368746																								
					optB88	555567777_SV_2	1	3	11.07381246																								
					optB88	555567777_SV_3	1	3	12.35137246																								
					optB88	555567777_SV_1	2	3	9.593030458																								
					optB88	555567777_SV_2	2	3	10.10033746																								
					optB88	555567777_SV	3	3	8.255715458																								
